n,noise,p_commit,p_abort,p_no_finality,visibility,fidelity
4,0.5,0.95425,0.002033333333333333,0.04371666666666667,0.9102749196198512,0.9551374598099256
4,1.0,0.9357333333333333,0.0017166666666666667,0.06255,0.8748508904831038,0.9374254452415519
4,1.5,0.9199333333333334,0.0016666666666666668,0.0784,0.8406960542025469,0.9203480271012734
4,2.0,0.9024166666666666,0.00165,0.09593333333333333,0.80776871933367,0.903884359666835
7,0.5,0.9402166666666667,0.0024666666666666665,0.05731666666666667,0.8820057144659575,0.9410028572329787
7,1.0,0.9092333333333333,0.002533333333333333,0.08823333333333333,0.8212769875209188,0.9106384937604595
7,1.5,0.8810666666666667,0.0028333333333333335,0.1161,0.7645555596777812,0.8822777798388906
7,2.0,0.8351666666666666,0.0264,0.13843333333333332,0.7115882812738836,0.8557941406369418
10,0.5,0.9231666666666667,0.00405,0.07278333333333334,0.8546144286557789,0.9273072143278894
10,1.0,0.8817666666666667,0.0035833333333333333,0.11465,0.770983830008986,0.885491915004493
10,1.5,0.7919333333333334,0.06423333333333334,0.14383333333333334,0.6953109877370404,0.8476554938685201
10,2.0,0.2866,0.6462,0.0672,0.626859978514661,0.8134299892573305
13,0.5,0.90975,0.004783333333333333,0.08546666666666666,0.828073797808521,0.9140368989042604
13,1.0,0.8484166666666667,0.01475,0.13683333333333333,0.7237705124669459,0.8618852562334729
13,1.5,0.3345166666666667,0.58905,0.07643333333333334,0.632337785721694,0.816168892860847
13,2.0,0.005816666666666667,0.9924833333333334,0.0017,0.5522202135762228,0.7761101067881113
16,0.5,0.8971833333333333,0.0069166666666666664,0.0959,0.8023574042572311,0.9011787021286155
16,1.0,0.71845,0.14346666666666666,0.13808333333333334,0.6794484324146721,0.8397242162073361
16,1.5,0.028783333333333334,0.9636166666666667,0.0076,0.5750679657066411,0.7875339828533205
16,2.0,0.0,1.0,0.0,0.486467751545949,0.7432338757729745
