parameter,value,p_commit,p_abort,p_no_finality,visibility,fidelity
F_min,0.75,0.8831166666666667,0.0033666666666666667,0.11351666666666667,0.770983830008986,0.885491915004493
F_min,0.78,0.8801833333333333,0.003683333333333333,0.11613333333333334,0.770983830008986,0.885491915004493
F_min,0.8,0.8846833333333334,0.003683333333333333,0.11163333333333333,0.770983830008986,0.885491915004493
F_min,0.82,0.8810666666666667,0.004,0.11493333333333333,0.770983830008986,0.885491915004493
F_min,0.84,0.8773833333333333,0.0098,0.11281666666666666,0.770983830008986,0.885491915004493
F_min,0.86,0.8147,0.08046666666666667,0.10483333333333333,0.770983830008986,0.885491915004493
F_min,0.88,0.54375,0.38381666666666664,0.07243333333333334,0.770983830008986,0.885491915004493
F_min,0.9,0.188,0.78805,0.02395,0.770983830008986,0.885491915004493
sigma_t,0.2,0.9044333333333333,0.0014666666666666667,0.0941,0.8105130162617328,0.9052565081308663
sigma_t,0.4,0.8992666666666667,0.0017,0.09903333333333333,0.7997779025081845,0.8998889512540922
sigma_t,0.7,0.8841833333333333,0.0038666666666666667,0.11195,0.770983830008986,0.885491915004493
sigma_t,1.0,0.7476833333333334,0.13393333333333332,0.11838333333333333,0.7285095494522038,0.8642547747261019
sigma_t,1.4,0.22538333333333332,0.7289333333333333,0.04568333333333333,0.6548027644156547,0.8274013822078273
sigma_t,1.7,0.012183333333333332,0.9845666666666667,0.00325,0.5905183638247954,0.7952591819123978
sigma_t,2.0,3.3333333333333335e-05,0.9999666666666667,0.0,0.5219999022345084,0.7609999511172543
sigma_F,0.005,0.8817333333333334,0.0034833333333333335,0.11478333333333333,0.770983830008986,0.885491915004493
sigma_F,0.01,0.8826166666666667,0.0034333333333333334,0.11395,0.770983830008986,0.885491915004493
sigma_F,0.018,0.8826333333333334,0.00425,0.11311666666666667,0.770983830008986,0.885491915004493
sigma_F,0.024,0.8800666666666667,0.0071,0.11283333333333333,0.770983830008986,0.885491915004493
sigma_F,0.03,0.8700166666666667,0.018416666666666668,0.11156666666666666,0.770983830008986,0.885491915004493
