arrival_rate_rounds_per_s,service_time_ms,traffic_intensity,expected_queue_wait_ms,expected_transcript_latency_ms
10,2.0,0.02,0.020408163265306124,2.020408163265306
25,2.0,0.05,0.052631578947368425,2.0526315789473686
50,2.0,0.1,0.11111111111111112,2.111111111111111
75,2.0,0.15,0.1764705882352941,2.176470588235294
100,2.0,0.2,0.25,2.25
150,2.0,0.3,0.42857142857142855,2.4285714285714284
10,5.0,0.05,0.13157894736842105,5.131578947368421
25,5.0,0.125,0.35714285714285715,5.357142857142857
50,5.0,0.25,0.8333333333333334,5.833333333333333
75,5.0,0.375,1.5,6.5
100,5.0,0.5,2.5,7.5
150,5.0,0.75,7.5,12.5
10,10.0,0.1,0.5555555555555556,10.555555555555555
25,10.0,0.25,1.6666666666666667,11.666666666666666
50,10.0,0.5,5.0,15.0
75,10.0,0.75,15.0,25.0
100,10.0,1.0,inf,inf
150,10.0,1.5,inf,inf
