arrival_rate_rounds_per_s,service_time_ms,servers,traffic_intensity_per_server,samples,mean_latency_ms,p95_latency_ms,timeout_fraction
25,2.0,1,0.05,822,2.0626132310440966,2.4558553977378494,0.0
25,2.0,2,0.025,772,2.0042790209449555,2.2718366649430166,0.0
25,2.0,4,0.0125,757,2.000950426379211,2.2655710923160655,0.0
50,2.0,1,0.1,1496,2.101877468943215,3.04168254724857,0.0
50,2.0,2,0.05,1530,2.0013804511770577,2.2645429739824863,0.0
50,2.0,4,0.025,1451,2.0040246659040806,2.2719811572846638,0.0
75,2.0,1,0.15,2274,2.165535244170899,3.4658257862396624,0.0
75,2.0,2,0.075,2254,2.013321901718322,2.272253255608092,0.0
75,2.0,4,0.0375,2187,2.0006373124370356,2.261216836219049,0.0
100,2.0,1,0.2,2973,2.2454011482212115,3.6788217719490035,0.0
100,2.0,2,0.1,2972,2.011097269294957,2.286725324976757,0.0
100,2.0,4,0.05,3040,1.9994112930818275,2.2587756045675533,0.0
150,2.0,1,0.3,4646,2.485117521038267,4.511306260486236,0.0
150,2.0,2,0.15,4459,2.0311426894101086,2.3234148927784304,0.0
150,2.0,4,0.075,4417,2.003153407453532,2.268389564626716,0.0
200,2.0,1,0.4,6006,2.691708916380726,5.196386675361708,0.0
200,2.0,2,0.2,5965,2.0472105926469024,2.390719004935704,0.0
200,2.0,4,0.1,6023,2.001899184889891,2.2741898634919266,0.0
25,5.0,1,0.125,775,5.3058558264242475,7.695875809762498,0.003870967741935484
25,5.0,2,0.0625,790,5.003663245105829,5.694645264131104,0.0
25,5.0,4,0.03125,748,5.0262043609163625,5.653682305496233,0.0
50,5.0,1,0.25,1473,5.822396822364292,9.884285145526306,0.018329938900203666
50,5.0,2,0.125,1483,5.03429811916701,5.754520915200345,0.0
50,5.0,4,0.0625,1526,5.0058584209887345,5.686235867557343,0.0
75,5.0,1,0.375,2348,6.802258018161622,13.371854758428725,0.075809199318569
75,5.0,2,0.1875,2250,5.12641039369428,6.036537248514051,0.0
75,5.0,4,0.09375,2236,4.99224703431388,5.625884342795651,0.0
100,5.0,1,0.5,3013,7.613253105592696,16.27647141527966,0.12844341188184533
100,5.0,2,0.25,3046,5.187315075434292,6.6653709699622254,0.0006565988181221273
100,5.0,4,0.125,3072,4.988628280185037,5.654347040524144,0.0
150,5.0,1,0.75,4434,11.86550189161487,28.28831713777813,0.3761840324763194
150,5.0,2,0.375,4363,5.447465170587629,8.1444587406585,0.0025212010084804033
150,5.0,4,0.1875,4343,5.011396336569179,5.675091464658166,0.0
200,5.0,1,1.0,5901,100.24334368952533,287.34823455562974,0.9037451279444162
200,5.0,2,0.5,5831,5.841768030489446,9.517446091958703,0.013548276453438519
200,5.0,4,0.25,5989,5.015311231480931,5.6861680351252275,0.0
25,10.0,1,0.25,749,11.356293847756925,18.90725092464507,0.205607476635514
25,10.0,2,0.125,761,10.007352092732443,11.320085828462112,0.018396846254927726
25,10.0,4,0.0625,678,9.98334114727376,11.298857236401005,0.008849557522123894
50,10.0,1,0.5,1470,14.77383844518253,29.985599150457176,0.43537414965986393
50,10.0,2,0.25,1427,10.321703427117754,12.401932958930217,0.06166783461807989
50,10.0,4,0.125,1506,9.970071657377263,11.33171299823843,0.005312084993359893
75,10.0,1,0.75,2281,25.80135827578396,64.17367715335054,0.7286277948268304
75,10.0,2,0.375,2294,11.053802529658967,16.921703177448677,0.16782911944202267
75,10.0,4,0.1875,2226,10.032644641557427,11.374628415957488,0.008984725965858042
100,10.0,1,1.0,3040,471.3734430525263,698.1577089818387,0.9993421052631579
100,10.0,2,0.5,2967,11.855057946106461,19.7544364984914,0.25210650488709135
100,10.0,4,0.25,2984,10.072765592276072,11.464498483981345,0.014410187667560321
150,10.0,1,1.5,4405,7083.920123225884,13269.349468030296,0.9997729852440409
150,10.0,2,0.75,4616,16.652784190230147,34.18427923966938,0.5825389948006933
150,10.0,4,0.375,4438,10.144631184171491,11.744591602553811,0.03762956286615592
200,10.0,1,2.0,5900,14613.204110728591,27496.37905323338,0.9994915254237288
200,10.0,2,1.0,6121,532.1403659371152,790.1281182671944,0.9975494200294069
200,10.0,4,0.5,5888,10.519243172255143,14.00852146251108,0.10309103260869565
